Starting run_simulation!(), time is 2026-05-11 00:07:17
New WL phase 1 epoch!, now at 0.5 and the time is 2026-05-11 00:07:25
New WL phase 1 epoch!, now at 0.25 and the time is 2026-05-11 00:07:26
New WL phase 1 epoch!, now at 0.125 and the time is 2026-05-11 00:07:35
New WL phase 1 epoch!, now at 0.0625 and the time is 2026-05-11 00:07:42
New WL phase 1 epoch!, now at 0.03125 and the time is 2026-05-11 00:07:50
New WL phase 1 epoch!, now at 0.015625 and the time is 2026-05-11 00:08:00
New WL phase 1 epoch!, now at 0.0078125 and the time is 2026-05-11 00:08:10
New WL phase 1 epoch!, now at 0.00390625 and the time is 2026-05-11 00:08:12
New WL phase 1 epoch!, now at 0.001953125 and the time is 2026-05-11 00:08:48
New WL phase 1 epoch!, now at 0.0009765625 and the time is 2026-05-11 00:09:00
New WL phase 1 epoch!, now at 0.00048828125 and the time is 2026-05-11 00:09:35
New WL phase 1 epoch!, now at 0.000244140625 and the time is 2026-05-11 00:10:17
New WL phase 1 epoch!, now at 0.0001220703125 and the time is 2026-05-11 00:11:32
New WL phase 1 epoch!, now at 6.103515625e-5 and the time is 2026-05-11 00:12:40
New WL phase 1 epoch!, now at 3.0517578125e-5 and the time is 2026-05-11 00:12:59
New WL phase 1 epoch!, now at 1.52587890625e-5 and the time is 2026-05-11 00:14:48
New WL phase 1 epoch!, now at 7.62939453125e-6 and the time is 2026-05-11 00:22:22
New WL phase 1 epoch!, now at 3.814697265625e-6 and the time is 2026-05-11 00:25:39
New WL phase 1 epoch!, now at 1.9073486328125e-6 and the time is 2026-05-11 00:35:56
New WL phase 1 epoch!, now at 9.5367431640625e-7 and the time is 2026-05-11 00:40:31
New WL phase 1 epoch!, now at 4.76837158203125e-7 and the time is 2026-05-11 01:14:01
New WL phase 1 epoch!, now at 2.384185791015625e-7 and the time is 2026-05-11 01:15:10
New WL phase 1 epoch!, now at 1.1920928955078125e-7 and the time is 2026-05-11 01:32:29
Now entering phase 2! It took 3180452000 monte carlo moves (wl.iters) to get to phase 2! 2026-05-11 01:32:29
That is a monte carlo time of: 7052000
Phase 2 flatness check: H(N) min/mean = 51.0 %, total iters: 3500000000 min: 360863 2026-05-11 01:42:15
Phase 2 flatness check: H(N) min/mean = 62.0 %, total iters: 4000000000 min: 1125578 2026-05-11 01:56:09
Phase 2 flatness check: H(N) min/mean = 65.0 %, total iters: 4500000000 min: 1900380 2026-05-11 02:09:25
Phase 2 flatness check: H(N) min/mean = 58.0 %, total iters: 5000000000 min: 2350931 2026-05-11 02:20:13
Phase 2 flatness check: H(N) min/mean = 48.0 %, total iters: 5500000000 min: 2458928 2026-05-11 02:31:33
Phase 2 flatness check: H(N) min/mean = 45.0 %, total iters: 6000000000 min: 2789444 2026-05-11 02:41:43
Phase 2 flatness check: H(N) min/mean = 46.0 %, total iters: 6500000000 min: 3418608 2026-05-11 02:54:41
Phase 2 flatness check: H(N) min/mean = 40.0 %, total iters: 7000000000 min: 3418608 2026-05-11 03:06:30
Phase 2 flatness check: H(N) min/mean = 39.0 %, total iters: 7500000000 min: 3740978 2026-05-11 03:18:13
Phase 2 flatness check: H(N) min/mean = 35.0 %, total iters: 8000000000 min: 3745424 2026-05-11 03:31:10
Phase 2 flatness check: H(N) min/mean = 32.0 %, total iters: 8500000000 min: 3745424 2026-05-11 03:43:50
Phase 2 flatness check: H(N) min/mean = 29.0 %, total iters: 9000000000 min: 3745424 2026-05-11 03:54:06
Phase 2 flatness check: H(N) min/mean = 48.0 %, total iters: 9500000000 min: 6735557 2026-05-11 04:08:56
