T_K,T_star,label,re_z1,im_z1,z_ref,n_runs,converged
87.79,0.7500213583938489,T*=0.75,2.2190327822257537e-6,1.6641376889917214e-8,2.03671411007729e-6,4,true
93.64,0.8,T*=0.80,3.277564325252519e-6,2.534236232489633e-8,2.7760207199005502e-6,4,true
99.49,0.8499786416061512,T*=0.85,4.54108369127396e-6,3.6328434387255184e-8,3.6470310127352566e-6,4,true
105.35,0.9000427167876975,T*=0.90,5.971187148993973e-6,4.9593703130782385e-8,4.716319545362418e-6,4,true
111.2,0.9500213583938488,T*=0.95,7.525896358226215e-6,6.534367678285032e-8,5.93114231883719e-6,4,true
117.05,1.0,T*=1.00,9.153165958367554e-6,8.366890038488948e-8,7.3039802134991e-6,4,true
122.9,1.0499786416061514,T*=1.05,1.0801604761664797e-5,1.0489044089892266e-7,8.805605332055683e-6,4,true
128.76,1.1000427167876976,T*=1.10,1.244501939557024e-5,1.3052236950768558e-7,1.0437424434075464e-5,4,true
134.61,1.150021358393849,T*=1.15,1.4033112153961447e-5,1.6205762976382672e-7,1.2234967914534794e-5,4,true
140.46,1.2000000000000002,T*=1.20,1.5542899350351537e-5,2.0597674077854565e-7,1.4119858964525499e-5,4,true
