Starting run_simulation!(), time is 2026-05-05 16:53:11
New WL phase 1 epoch!, now at 0.5 and the time is 2026-05-05 16:53:22
New WL phase 1 epoch!, now at 0.25 and the time is 2026-05-05 16:53:28
New WL phase 1 epoch!, now at 0.125 and the time is 2026-05-05 16:53:33
New WL phase 1 epoch!, now at 0.0625 and the time is 2026-05-05 16:53:44
New WL phase 1 epoch!, now at 0.03125 and the time is 2026-05-05 16:53:53
New WL phase 1 epoch!, now at 0.015625 and the time is 2026-05-05 16:54:08
New WL phase 1 epoch!, now at 0.0078125 and the time is 2026-05-05 16:54:11
New WL phase 1 epoch!, now at 0.00390625 and the time is 2026-05-05 16:55:01
New WL phase 1 epoch!, now at 0.001953125 and the time is 2026-05-05 16:55:31
New WL phase 1 epoch!, now at 0.0009765625 and the time is 2026-05-05 16:55:47
New WL phase 1 epoch!, now at 0.00048828125 and the time is 2026-05-05 16:56:40
New WL phase 1 epoch!, now at 0.000244140625 and the time is 2026-05-05 16:56:58
New WL phase 1 epoch!, now at 0.0001220703125 and the time is 2026-05-05 16:59:27
New WL phase 1 epoch!, now at 6.103515625e-5 and the time is 2026-05-05 17:02:24
New WL phase 1 epoch!, now at 3.0517578125e-5 and the time is 2026-05-05 17:05:31
New WL phase 1 epoch!, now at 1.52587890625e-5 and the time is 2026-05-05 17:06:53
New WL phase 1 epoch!, now at 7.62939453125e-6 and the time is 2026-05-05 17:11:05
New WL phase 1 epoch!, now at 3.814697265625e-6 and the time is 2026-05-05 17:18:38
New WL phase 1 epoch!, now at 1.9073486328125e-6 and the time is 2026-05-05 17:22:08
New WL phase 1 epoch!, now at 9.5367431640625e-7 and the time is 2026-05-05 17:48:46
New WL phase 1 epoch!, now at 4.76837158203125e-7 and the time is 2026-05-05 17:54:25
New WL phase 1 epoch!, now at 2.384185791015625e-7 and the time is 2026-05-05 18:57:49
New WL phase 1 epoch!, now at 1.1920928955078125e-7 and the time is 2026-05-05 19:01:21
Now entering phase 2! It took 3525016000 monte carlo moves (wl.iters) to get to phase 2! 2026-05-05 19:01:21
That is a monte carlo time of: 7816000
Phase 2 flatness check: H(N) min/mean = 1.0 %, total iters: 4000000000 min: 11790 2026-05-05 19:17:44
Phase 2 flatness check: H(N) min/mean = 12.0 %, total iters: 4500000000 min: 251800 2026-05-05 19:40:22
Phase 2 flatness check: H(N) min/mean = 22.0 %, total iters: 5000000000 min: 732988 2026-05-05 19:59:52
Phase 2 flatness check: H(N) min/mean = 32.0 %, total iters: 5500000000 min: 1401332 2026-05-05 20:17:36
Phase 2 flatness check: H(N) min/mean = 37.0 %, total iters: 6000000000 min: 2025342 2026-05-05 20:35:57
Phase 2 flatness check: H(N) min/mean = 42.0 %, total iters: 6500000000 min: 2789743 2026-05-05 20:55:12
Phase 2 flatness check: H(N) min/mean = 36.0 %, total iters: 7000000000 min: 2789743 2026-05-05 21:10:10
Phase 2 flatness check: H(N) min/mean = 32.0 %, total iters: 7500000000 min: 2789743 2026-05-05 21:29:10
Phase 2 flatness check: H(N) min/mean = 28.0 %, total iters: 8000000000 min: 2789743 2026-05-05 21:44:52
Phase 2 flatness check: H(N) min/mean = 26.0 %, total iters: 8500000000 min: 2913230 2026-05-05 22:01:46
Phase 2 flatness check: H(N) min/mean = 24.0 %, total iters: 9000000000 min: 2913230 2026-05-05 22:18:35
Phase 2 flatness check: H(N) min/mean = 25.0 %, total iters: 9500000000 min: 3363907 2026-05-05 22:37:50
Phase 2 flatness check: H(N) min/mean = 33.0 %, total iters: 10000000000 min: 4694232 2026-05-05 22:57:45
Phase 2 flatness check: H(N) min/mean = 35.0 %, total iters: 10500000000 min: 5469114 2026-05-05 23:18:21
Phase 2 flatness check: H(N) min/mean = 37.0 %, total iters: 11000000000 min: 6126618 2026-05-05 23:32:11
Phase 2 flatness check: H(N) min/mean = 35.0 %, total iters: 11500000000 min: 6126618 2026-05-05 23:44:45
Phase 2 flatness check: H(N) min/mean = 43.0 %, total iters: 12000000000 min: 8168124 2026-05-06 00:02:10
Phase 2 flatness check: H(N) min/mean = 45.0 %, total iters: 12500000000 min: 8986458 2026-05-06 00:19:04
Phase 2 flatness check: H(N) min/mean = 44.0 %, total iters: 13000000000 min: 9325142 2026-05-06 00:37:30
Phase 2 flatness check: H(N) min/mean = 47.0 %, total iters: 13500000000 min: 10417641 2026-05-06 00:53:12
Phase 2 flatness check: H(N) min/mean = 45.0 %, total iters: 14000000000 min: 10417641 2026-05-06 01:08:52
Phase 2 flatness check: H(N) min/mean = 43.0 %, total iters: 14500000000 min: 10417641 2026-05-06 01:21:13
Phase 2 flatness check: H(N) min/mean = 41.0 %, total iters: 15000000000 min: 10417641 2026-05-06 01:35:27
Phase 2 flatness check: H(N) min/mean = 47.0 %, total iters: 15500000000 min: 12363831 2026-05-06 01:56:12
Phase 2 flatness check: H(N) min/mean = 47.0 %, total iters: 16000000000 min: 13053743 2026-05-06 02:13:18
Phase 2 flatness check: H(N) min/mean = 47.0 %, total iters: 16500000000 min: 13407839 2026-05-06 02:29:49
Phase 2 flatness check: H(N) min/mean = 46.0 %, total iters: 17000000000 min: 13765295 2026-05-06 02:48:18
Phase 2 flatness check: H(N) min/mean = 45.0 %, total iters: 17500000000 min: 13824501 2026-05-06 03:04:54
Phase 2 flatness check: H(N) min/mean = 48.0 %, total iters: 18000000000 min: 15506209 2026-05-06 03:23:19
Phase 2 flatness check: H(N) min/mean = 50.0 %, total iters: 18500000000 min: 16525908 2026-05-06 03:41:23
Phase 2 flatness check: H(N) min/mean = 50.0 %, total iters: 19000000000 min: 17281962 2026-05-06 04:02:23
Phase 2 flatness check: H(N) min/mean = 51.0 %, total iters: 19500000000 min: 18086595 2026-05-06 04:20:19
Phase 2 flatness check: H(N) min/mean = 53.0 %, total iters: 20000000000 min: 19204081 2026-05-06 04:38:58
