Starting run_simulation!(), time is 2026-04-08 02:03:37
New WL phase 1 epoch!, now at 0.5 and the time is 2026-04-08 02:05:29
New WL phase 1 epoch!, now at 0.25 and the time is 2026-04-08 02:06:29
New WL phase 1 epoch!, now at 0.125 and the time is 2026-04-08 02:07:25
New WL phase 1 epoch!, now at 0.0625 and the time is 2026-04-08 02:09:03
New WL phase 1 epoch!, now at 0.03125 and the time is 2026-04-08 02:09:18
New WL phase 1 epoch!, now at 0.015625 and the time is 2026-04-08 02:14:22
New WL phase 1 epoch!, now at 0.0078125 and the time is 2026-04-08 02:17:59
New WL phase 1 epoch!, now at 0.00390625 and the time is 2026-04-08 02:22:03
New WL phase 1 epoch!, now at 0.001953125 and the time is 2026-04-08 02:22:45
New WL phase 1 epoch!, now at 0.0009765625 and the time is 2026-04-08 02:47:41
New WL phase 1 epoch!, now at 0.00048828125 and the time is 2026-04-08 02:53:29
New WL phase 1 epoch!, now at 0.000244140625 and the time is 2026-04-08 03:01:32
New WL phase 1 epoch!, now at 0.0001220703125 and the time is 2026-04-08 03:04:46
New WL phase 1 epoch!, now at 6.103515625e-5 and the time is 2026-04-08 04:00:08
New WL phase 1 epoch!, now at 3.0517578125e-5 and the time is 2026-04-08 04:08:21
New WL phase 1 epoch!, now at 1.52587890625e-5 and the time is 2026-04-08 04:31:43
New WL phase 1 epoch!, now at 7.62939453125e-6 and the time is 2026-04-08 05:39:44
New WL phase 1 epoch!, now at 3.814697265625e-6 and the time is 2026-04-08 06:16:13
New WL phase 1 epoch!, now at 1.9073486328125e-6 and the time is 2026-04-08 06:30:53
New WL phase 1 epoch!, now at 9.5367431640625e-7 and the time is 2026-04-08 08:22:42
New WL phase 1 epoch!, now at 4.76837158203125e-7 and the time is 2026-04-08 09:37:34
New WL phase 1 epoch!, now at 2.384185791015625e-7 and the time is 2026-04-08 13:18:19
New WL phase 1 epoch!, now at 1.1920928955078125e-7 and the time is 2026-04-09 07:27:28
New WL phase 1 epoch!, now at 5.960464477539063e-8 and the time is 2026-04-09 08:27:31
Halted simulation on 4/10/26 1:41pm
