Starting run_simulation!(), time is 2026-04-08 02:10:39
New WL phase 1 epoch!, now at 0.5 and the time is 2026-04-08 02:14:40
New WL phase 1 epoch!, now at 0.25 and the time is 2026-04-08 02:16:25
New WL phase 1 epoch!, now at 0.125 and the time is 2026-04-08 02:17:49
New WL phase 1 epoch!, now at 0.0625 and the time is 2026-04-08 02:21:08
New WL phase 1 epoch!, now at 0.03125 and the time is 2026-04-08 02:23:19
New WL phase 1 epoch!, now at 0.015625 and the time is 2026-04-08 02:23:54
New WL phase 1 epoch!, now at 0.0078125 and the time is 2026-04-08 02:38:22
New WL phase 1 epoch!, now at 0.00390625 and the time is 2026-04-08 02:52:18
New WL phase 1 epoch!, now at 0.001953125 and the time is 2026-04-08 03:06:40
New WL phase 1 epoch!, now at 0.0009765625 and the time is 2026-04-08 03:19:23
New WL phase 1 epoch!, now at 0.00048828125 and the time is 2026-04-08 03:25:04
New WL phase 1 epoch!, now at 0.000244140625 and the time is 2026-04-08 04:58:01
New WL phase 1 epoch!, now at 0.0001220703125 and the time is 2026-04-08 05:07:37
New WL phase 1 epoch!, now at 6.103515625e-5 and the time is 2026-04-08 08:01:54
New WL phase 1 epoch!, now at 3.0517578125e-5 and the time is 2026-04-08 08:28:58
New WL phase 1 epoch!, now at 1.52587890625e-5 and the time is 2026-04-08 12:31:34
New WL phase 1 epoch!, now at 7.62939453125e-6 and the time is 2026-04-08 13:49:08
New WL phase 1 epoch!, now at 3.814697265625e-6 and the time is 2026-04-08 22:38:37
Halted simulation on 4/10/26 1:41pm
